text,label
"TMA is oxidized into trimethylamine N-oxide (TMAO) (<|other_cit|>), a small molecule strongly associated with promoting inflammatory-based atherosclerosis (<|multi_cit|>). [SEP] Intestinal microbiota metabolism of choline/phosphatidylcholine produces trimethylamine (TMA), which is further metabolized to a proatherogenic species, trimethylamine-N-oxide (TMAO). Herein we demonstrate that intestinal microbiota metabolism of dietary L-carnitine, a trimethylamine abundant in red meat, also produces TMAO and accelerates atherosclerosis.",ACCURATE
"In both humans and mice, TMAO concentrations correlate positively with CVD risk, and dietary supplementation with either TMAO or compounds that can be metabolized to TMAO increases atherosclerosis in mice<|cit|>. [SEP] 6c). The association between plasma carnitine levels and CVD risks disappeared following addition of TMAO levels to the statistical model. Herein we demonstrate that intestinal microbiota metabolism of dietary L-carnitine, a trimethylamine abundant in red meat, also produces TMAO and accelerates atherosclerosis. Chronic dietary L-carnitine supplementation in mice significantly altered cecal microbial composition, markedly enhanced synthesis of TMA/TMAO, and increased atherosclerosis, but not following suppression of intestinal microbiota.",ACCURATE
"ABCA7, a novel AD risk locus gene <|multi_cit|> [SEP] If there are many loci of more modest effects, some, but not all, will likely be detected in any one study. This likely explains the genome-wide statistical significance for the ABCA7 locus in the accompanying manuscript12, which reaches only modest statistical significance in our dataset (rs3752246; PM = 1.0 × 10−5, PJ = 1.9 × 10−5).",NOT_ACCURATE
"Examining the amount of genetic risk effect attributable to these genes (other than APOE), the most strongly associated single-nucleotide polymorphisms at each locus have population attributable fractions between 2.72 and 5.97%, with a cumulative population attributable fraction for non-APOE loci estimated to be as much as 35% (Naj et al., <|cit|>) [SEP] With our findings and those by Hollingsworth et al.12, there are now ten LOAD susceptibility loci (APOE, CR1, CLU, PICALM, BIN1, EPHA1, MS4A, CD33, CD2AP, and ABCA7). Examining the amount of genetic effect attributable to these candidate genes, the most strongly associated SNPs at each locus other than APOE demonstrated population attributable fractions (PAFs) between 2.72–5.97% (Supplemental Table 9), with a cumulative PAF for non-APOE loci estimated to be as much as 35%; however, these estimates may vary widely between studies22, and the actual effect sizes are likely to be much smaller than those estimated here because of the ‘winner’s curse’.",NOT_ACCURATE
"an additive model, the model utilized when originally reporting association between these SNPs and risk for AD <|multi_cit|> [SEP] We performed association analysis assuming an additive model on the log odds ratio scale with adjustment for population substructure using logistic regression for case-control data and generalized estimating equations (GEE) with a logistic model for family data.",ACCURATE
"Recent large-scale LOAD GWAS have identified SNPs in ABCA7, BIN1, CD2AP, CD33, CLU, CR1, EPHA1, MS4A6A, MS4A4E, and PICALM <|multi_cit|>. [SEP] NO EVIDENCE",IRRELEVANT
"All variants classified as “likely pathogenic” or with an “unknown pathogenicity”, and some “non-pathogenic” variants were genotyped in 961 sporadic AD cases, 1,346 unrelated elderly non-demented controls <|multi_cit|> [SEP] # Common variants in MS4A4/MS4A6E, CD2uAP, CD33, and EPHA1 are associated with late-onset Alzheimer’s disease",IRRELEVANT
"top genes recently implicated in AD risk in large LOAD GWAS studies <|multi_cit|> [SEP] The Alzheimer Disease Genetics Consortium (ADGC) performed a genome-wide association study (GWAS) of late-onset Alzheimer disease (LOAD) using a 3 stage design consisting of a discovery stage (Stage 1) and two replication stages (Stages 2 and 3). Our observation of genome-wide significant associations at MS4A4A, CD2AP, EPHA1, and CD33 extend our understanding of the genetic architecture of LOAD and confirm the emerging consensus that common genetic variation plays a significant role in the etiology of LOAD. With our findings and those by Hollingsworth et al.12, there are now ten LOAD susceptibility loci (APOE, CR1, CLU, PICALM, BIN1, EPHA1, MS4A, CD33, CD2AP, and ABCA7).",ACCURATE
"ABCA7, identified recently as a novel LOAD risk locus <|multi_cit|> [SEP] If there are many loci of more modest effects, some, but not all, will likely be detected in any one study. This likely explains the genome-wide statistical significance for the ABCA7 locus in the accompanying manuscript12, which reaches only modest statistical significance in our dataset (rs3752246; PM = 1.0 × 10−5, PJ = 1.9 × 10−5).",NOT_ACCURATE
"meta-analyses for the ADGC Stage 1+2 cohort (11,840 LOAD vs. 10,931 controls) <|cit|> [SEP] For the Stage 2 replication, we used four additional datasets and additional samples from the ADCs (3,531 LOAD cases, 3,565 CNEs). The latter method has improved power over meta- analysis in the absence of between-study heterogeneity13 and more direct correction for confounding sampling bias14. To identify genetic variants associated with risk for AD, the ADGC assembled a discovery dataset [Stage 1; 8,309 LOAD cases, 7,366 cognitively normal controls (CNEs)] using data from eight cohorts and a ninth newly assembled cohort from the 29 NIA-funded Alzheimer Disease Centers (ADCs) (Supplementary Tables 1 and 2, Supplementary Note) with data coordinated by the National Alzheimer Coordinating Center (NACC) and samples coordinated by the National Cell Repository for Alzheimer Disease (NCRAD).",ACCURATE
"within the past 3 years genome-wide association studies (GWAS) of AD have identified nine genome-wide significant susceptibility loci [see Hollingworth et al. for a review (<|other_cit|>)]. These are CLU, PICALM, CR1, BIN1, MS4A, ABCA7, CD33, EPHA1 and CD2AP (<|multi_cit|>). [SEP] If there are many loci of more modest effects, some, but not all, will likely be detected in any one study. This likely explains the genome-wide statistical significance for the ABCA7 locus in the accompanying manuscript12, which reaches only modest statistical significance in our dataset (rs3752246; PM = 1.0 × 10−5, PJ = 1.9 × 10−5).",NOT_ACCURATE
"several genes in the MS4A gene cluster have been identified in recent LOAD GWAS <|multi_cit|> [SEP] We obtained genome-wide significant results at MS4A4A [rs4938933; Stages 1+2, meta-analysis (PM) = 1.7 × 10−9, joint analysis (PJ) = 1.7 × 10−9; Stages 1–3, PM = 8.2 × 10−12], CD2AP (rs9349407; Stages 1–3, PM = 8.6 × 10−9), EPHA1 (rs11767557; Stages 1–3 PM = 6.0 × 10−10), and CD33 (rs3865444; Stages 1–3, PM = 1.6 × 10−9). 2). One novel locus (MS4A) was significant in the Stage 1+2 analysis.",ACCURATE
large AD GWAS conducted by ADGC <|cit|> [SEP] The Alzheimer Disease Genetics Consortium (ADGC) performed a genome-wide association study (GWAS) of late-onset Alzheimer disease (LOAD) using a 3 stage design consisting of a discovery stage (Stage 1) and two replication stages (Stages 2 and 3). Both joint and meta-analysis analysis approaches were used.,ACCURATE
"recent collaborative AD GWAS which have been conducted (<|multi_cit|>) [SEP] A recent review of GWAS studies23 noted that risk alleles with small effect sizes (0.80 < OR < 1.2) likely exist for complex diseases such as LOAD but remain undetected, even with thousands of samples, because of insufficient power24. Our discovery dataset (Stage 1; 8,309 cases and 7,366 controls), was well-powered to detect associations exceeding the statistical significance threshold of P < 10−6 (Supplementary Table 9).",ACCURATE
"These studies have identified several new genes that show significant association after multiple test correction in multiple datasets: CLU, PICALM, BIN1, CR1, ABCA7, MS4A6A, CD33 and CD2AP <|multi_cit|>. [SEP] NO EVIDENCE",IRRELEVANT
"The cohorts that are assessed by ADGC, as well as the methodological details of the meta-analyses are described in detail in a recent publication <|cit|>. [SEP] The Alzheimer Disease Genetics Consortium (ADGC) performed a genome-wide association study (GWAS) of late-onset Alzheimer disease (LOAD) using a 3 stage design consisting of a discovery stage (Stage 1) and two replication stages (Stages 2 and 3). Both joint and meta-analysis analysis approaches were used.",ACCURATE
"In recent efforts to identify additional genetic risk factors for LOAD, large-scale genome-wide association studies (GWAS) have identified single nucleotide polymorphisms (SNP) in 10 genes: ABCA7, BIN1, CD2AP, CD33, CLU, CR1, EPHA1, MS4A6A, MS4A4E, and PICALM <|multi_cit|>– [SEP] NO EVIDENCE",IRRELEVANT
meta-analyses results from the ADGC <|cit|> [SEP] Both joint and meta-analysis analysis approaches were used. The Alzheimer Disease Genetics Consortium (ADGC) performed a genome-wide association study (GWAS) of late-onset Alzheimer disease (LOAD) using a 3 stage design consisting of a discovery stage (Stage 1) and two replication stages (Stages 2 and 3).,ACCURATE
"Since 2009, four GWAS and a three-stage analysis of the GWAS resulted in the identification of nine novel loci associated with late-onset AD: CLU, PICALM, CR1, BIN1, ABCA7, MS4A cluster (MS4A6A/MS4A4E), CD2AP, CD33, and EPHA1 (Harold et al., <|other_cit|>; Lambert et al., <|other_cit|>; Seshadri et al., <|other_cit|>; Hollingworth et al., <|other_cit|>; Naj et al., <|multi_cit|>). [SEP] NO EVIDENCE",IRRELEVANT
"The DIAbetes Genetics Replication And Meta-analysis (DIAGRAM) Consortium recently published the largest T2D GWAS meta-analysis to date (DIAGRAMv3), identifying many additional common variants associated with T2D and bringing the total number of independent T2D loci to 65 (<|cit|>). [SEP] Assuming disease prevalence, K, the liability-scale variance20 explained by these SNPs is given by where z is the height of the standard Gaussian density at T. ### Z-score mixture modelling We considered the distribution of Z-scores from the Stage 2 meta-analysis, aligned to the risk allele from Stage 1, at a subset of 3,412 independent T2D replication variants (CEU r2 < 0.05), excluding lead SNPs and proxies (CEU r2 ≥ 0.1) at the 63 established and newly discovered susceptibility loci on Metabochip.",NOT_ACCURATE
"The lead SNP for a putative secondary association signal (rs944801) is located within an intron of ANRIL (<|cit|>). [SEP] To understand the extent to which additional variance might be attributable to multiple variants at established and newly discovered loci, we extended these analyses, focusing on the detection of independent (CEU r2 < 0.05) association signals that lie outside the recombination interval containing the lead SNP (Supplementary Table 2). We detected two loci at which multiple independent association signals attained genome-wide significance: KCNQ1 (rs163184, P = 1.2 × 10−11; rs231361, P = 1.2 × 10−9; CEU r2 = 0.01) and CDKN2A/B (rs10811661, P = 3.7 × 10−27; rs944801, P = 2.4 × 10−9; CEU r2 = 0.01) (Fig. 2). Both signals at KCNQ1 have previously been reported in East Asian and European populations4,24.",ACCURATE
"The lead SNP at this locus is within the intron of the KCNQ1 protein-coding gene, yet the lead SNP for a putative secondary association signal is in the exon of an antisense lncRNA (KCNQ1OT1) (<|cit|>). [SEP] NO EVIDENCE",IRRELEVANT
"According to the most recent meta-analysis of genome-wide association studies, 63 individual SNPs have now been linked with diabetes risk <|cit|>. [SEP] Under a multiplicative model within and between variants, the sibling relative risk attributable to lead SNPs rose from λS = 1.093 at the 55 previously described autosomal T2D loci represented on Metabochip (DUSP9 on chromosome X is not captured) to λS = 1.104 after inclusion of the eight newly discovered loci (Supplementary Table 5). Assuming a T2D population prevalence of 8%, these 63 newly discovered and established autosomal loci together account for 5.7% of variance in disease susceptibility, as calculated by transforming dichotomous disease risk onto a continuous liability scale20 (Online Methods). We estimated the features of this alternative distribution (red curve) and noted that addition of this class of SNPs significantly improved the fit to the observed Z-scores over the null model. Using simulations, based on parameter estimates from this mixture model, we estimated that 488 (95% confidence interval (CI) 456–521) of the independent replication SNPs, in addition to the 63 newly discovered and established loci, are associated with T2D susceptibility.",ACCURATE
"Second, we updated the weight we used for each locus in our GRS  based on the effect sizes from the largest T2D GWAS meta-analysis to date (<|cit|>). [SEP] This genome-wide meta-analysis (“DIAGRAMv3”) includes data from 12,171 cases and 56,862 controls of European descent imputed up to 2.5 million autosomal SNPs, and augments the previously published “DIAGRAMv2” meta-analysis4 with four additional GWAS (Supplementary Table 1). The T2D-nominated content of Metabochip includes a further 16,717 variants, most chosen from 1000 Genomes Project pilot data13, to fine-map 27 established susceptibility loci.",ACCURATE
"The largest T2D GWAS meta-analysis to date (<|cit|>) may include all of the common T2D-associated loci of at least modest effect size that can be expected to be specifically identified. [SEP] The T2D-nominated component of Metabochip comprises 21,774 variants, including 5,057 “replication” SNPs that capture the strongest, independent (CEU r2< 0.2) autosomal association signals from the GWAS meta-analysis conducted by the DIAbetes Genetics Replication and Meta-analysis (DIAGRAM) Consortium. This genome-wide meta-analysis (“DIAGRAMv3”) includes data from 12,171 cases and 56,862 controls of European descent imputed up to 2.5 million autosomal SNPs, and augments the previously published “DIAGRAMv2” meta-analysis4 with four additional GWAS (Supplementary Table 1). The T2D-nominated content of Metabochip includes a further 16,717 variants, most chosen from 1000 Genomes Project pilot data13, to fine-map 27 established susceptibility loci.",ACCURATE
"Currently, over 60 common risk variants have been identified [<|other_cit|>], with a combined disease risk of 5–10% [<|multi_cit|>], suggesting the existence of many more as yet undiscovered loci [<|other_cit|>]. [SEP] Under a multiplicative model within and between variants, the sibling relative risk attributable to lead SNPs rose from λS = 1.093 at the 55 previously described autosomal T2D loci represented on Metabochip (DUSP9 on chromosome X is not captured) to λS = 1.104 after inclusion of the eight newly discovered loci (Supplementary Table 5). Assuming a T2D population prevalence of 8%, these 63 newly discovered and established autosomal loci together account for 5.7% of variance in disease susceptibility, as calculated by transforming dichotomous disease risk onto a continuous liability scale20 (Online Methods).",ACCURATE
"Of these SNPs, 66,000 were selected for efficient replication of top signals across multiple traits, with the hope that when tested in sufficiently large samples they might exceed genome-wide statistical significance (<|multi_cit|>,10); 120,000 other SNPs were included for the purposes of fine-mappi [SEP] NO EVIDENCE",IRRELEVANT
"A fundamental challenge facing those wishing to determine which of the genes in a particular locus is responsible for affecting disease risk, and dissect how this/these act, is the very scale of the problem (currently more than 500 genes in total to interrogate, with others emerging) [<|cit|>] (and McCarthy M, personal communication). [SEP] NO EVIDENCE",IRRELEVANT
"Interestingly, the G allele had been previously associated with increased risk of type 1 diabetes (<|other_cit|>) but lower risk of T2D (<|cit|>) [SEP] NO EVIDENCE",IRRELEVANT
"We identified 10 predominantly IR–related SNPs by 1) their significant association with HOMA-IR (P < 0.05) in the MAGIC data (<|cit|>) [SEP] Second, we extended our previous analysis4 of the physiological consequences of T2D risk alleles to include the newly identified loci. We used the published MAGIC meta-analysis (up to 37,037 non-diabetic individuals) of HOMA indices of beta-cell function and insulin sensitivity5 as these traits were not included in the enlarged Metabochip study34. For fasting glucose and fasting insulin, the meta- analysis comprised up to 133,010 individuals, genotyped with GWAS arrays and imputed on up to ~2.5 million SNPs, or genotyped with Metabochip. We also considered surrogate estimates of beta-cell function (HOMA-B) and insulin resistance (HOMA-IR) derived by homeostasis model assessment in up to 38,238 individuals (from GWAS meta-analysis only since these traits were not investigated in the enlarged MAGIC Metabochip study).",ACCURATE
"We identified 20 predominantly β-cell–associated SNPs by 1) their significant effect on homeostasis model assessment (HOMA)-β (β < –0.008; P < 0.05) in the most recent Meta-Analyses of Glucose and Insulin-related traits Consortium (MAGIC) (<|cit|>) [SEP] Second, we extended our previous analysis4 of the physiological consequences of T2D risk alleles to include the newly identified loci. We used the published MAGIC meta-analysis (up to 37,037 non-diabetic individuals) of HOMA indices of beta-cell function and insulin sensitivity5 as these traits were not included in the enlarged Metabochip study34.",ACCURATE
"The DIAGRAMv3 meta-analysis consisted predominantly of populations of European ancestry (<|cit|>). [SEP] To extend understanding of the genetic architecture and molecular basis of type 2 diabetes (T2D), we conducted a meta-analysis of genetic variants on the Metabochip involving 34,840 cases and 114,981 controls, overwhelmingly of European descent.",ACCURATE
"Increased incretin sensitivity improves β-cell function (<|other_cit|>), thereby lowering T2D risk (<|cit|>). [SEP] We used the published MAGIC meta-analysis (up to 37,037 non-diabetic individuals) of HOMA indices of beta-cell function and insulin sensitivity5 as these traits were not included in the enlarged Metabochip study34. The risk allele at ANK1 has features (nominally significant reduction in HOMA-B) indicating a primary effect on beta-cell function, whereas those at GRB14 and AKNRD55 are characteristic of loci acting primarily through insulin resistance (increased HOMA-IR) (Supplementary Fig.",NOT_ACCURATE
"According to the most recent meta-analysis of genome-wide association studies, 63 individual SNPs have now been linked with diabetes risk [1]. However, these variants explain only ∼5.7% of variance in disease susceptibility <|cit|>. [SEP] Under a multiplicative model within and between variants, the sibling relative risk attributable to lead SNPs rose from λS = 1.093 at the 55 previously described autosomal T2D loci represented on Metabochip (DUSP9 on chromosome X is not captured) to λS = 1.104 after inclusion of the eight newly discovered loci (Supplementary Table 5). Assuming a T2D population prevalence of 8%, these 63 newly discovered and established autosomal loci together account for 5.7% of variance in disease susceptibility, as calculated by transforming dichotomous disease risk onto a continuous liability scale20 (Online Methods).",ACCURATE
"In the present analyses, we updated these GRS  to include as many of the 65 index SNPs or their proxies as were available at the confirmed or newly identified loci from DIAGRAMv3 (<|cit|>) (<|other_cit|> and <|other_cit|>), using previously reported methods (<|other_cit|>). [SEP] Under a multiplicative model within and between variants, the sibling relative risk attributable to lead SNPs rose from λS = 1.093 at the 55 previously described autosomal T2D loci represented on Metabochip (DUSP9 on chromosome X is not captured) to λS = 1.104 after inclusion of the eight newly discovered loci (Supplementary Table 5). Assuming a T2D population prevalence of 8%, these 63 newly discovered and established autosomal loci together account for 5.7% of variance in disease susceptibility, as calculated by transforming dichotomous disease risk onto a continuous liability scale20 (Online Methods).",NOT_ACCURATE
"In a more recent large-scale meta-analysis which aimed to finely map the causal SNPs, only two of the 65 T2D susceptibility loci examined had a lead SNP resulting in a missense mutation (PPARG [rs1801282] and KCNJ11 [rs5215]) (<|cit|>). [SEP] NO EVIDENCE",IRRELEVANT
"Subsequent models using genome-wide complex trait analysis suggested that 63% of T2D susceptibility might be attributable to common genetic variation in the full set of GWAS SNPs (<|cit|>). [SEP] To estimate the contribution to the variance explained by common variants genome-wide, we undertook polygenic mixed linear modelling analyses using GCTA21, 22 in two DIAGRAMv3 GWAS data sets: DGI (1,022 cases, 1,075 controls) and WTCCC (1,924 cases, 2,938 controls). The estimated liability-scale variance explained by the full set of GWAS SNPs was consistent between the two studies: 62.6% for DGI (95% CI 38.1–87.1%) and 63.9% for WTCCC (95% CI 52.1–75.8%).",NOT_ACCURATE
It was shown that administered rhACE2 quickly lowers the concentration of angiotensin 2 [<|multi_cit|>]. [SEP] NO EVIDENCE,IRRELEVANT
"renin-angiotensin system (RAS) plays a major role in control of electrolyte homeostasis, fluid, and blood pressure. Renin and angiotensin I converting enzyme (ACE) cleave the angiotensinogen, the major precursor protein of RAS into angiotensin I (Ang I) and angiotensin II (Ang II), respectively (<|other_cit|>). RAS consists of ACE, angiotensin converting enzyme 2 (ACE2), Ang II, and Ang II type 1 receptor (<|other_cit|>). The spike glycoprotein (S protein) on the surface of SARS-CoV-2 is a crucial structural protein. It is a highly glycosylated homotrimer and can mediate the invasion of SARS-CoV-2 into human cells (<|other_cit|>). ACE2 is expressed in many other organs such as lung, stomach, kidney, brain, heart, spleen, liver, and intestines, among which the lung and small intestine are the main vulnerable parts (<|other_cit|>) with the expression on the surface of many cell membranes like pulmonary alveolar, tracheal, and bronchial epithelial cells, and also the macrophages (<|other_cit|>). ACE2 regulates the RAS by degradation of Ang II produced by ACE, and it is an important regulator of ARDS (<|other_cit|>). ACE2 is identified as the host cell functional receptor of SARS-CoV-2 as well as SARS-CoV and virus enters the host cells by binding the S protein to ACE2 receptor and adsorbing onto it (<|other_cit|>). When SARS-CoV-2 enters the host, it will replicate, assemble, and release a great quantity of viral particles thus numerous viruses invade the body and cause disease. SARS-CoV-2 utilizes the identical cell entry receptor to SARS-CoV. That is to say, the two virus SARS-CoV-2 and SARS-CoV both use their expressed S protein to bind to ACE2 and enter the host cells. But the affinity of SARS-CoV-2 for ACE2 is 10–20 times that of SARS-CoV, which improves its transmission ability (<|other_cit|>). Significantly, ACE is markedly different from ACE2. ACE also targets on Ang I to generate Ang II involved in the pathogenesis of ARDS, which leads to vasoconstriction and bronchoconstriction, increases blood vessel permeability, and triggers inflammation, fibrosis, and apoptosis. Thus it accelerates the progress of ARDS and lung failure in COVID-19 patients and SARS-CoV infection patients (<|other_cit|>). However, ACE2 targets on Ang II to generate Ang (1–7), which improves ARDS and ACE2 gene deletion aggravates ARDS (<|other_cit|>) and thus enzyme ACE2 provides a new therapeutic method for the syndrome (<|other_cit|>). ACE2 converts Ang I to Ang (1–9) (<|other_cit|>) and Ang (1–7) and Ang (1–9) will result in reduction of inflammation and fibrosis (<|other_cit|>). Studies confirmed that it could decrease inflammation and mitigate lung injury through inhibiting ACE, or blocking the Ang II receptor in ARDS and the risk could not be increased by administration with ACE inhibitors after being infected by SARS-CoV-2, even more ACE inhibitors can increase ACE2 (<|other_cit|>). Preoperative serum ACE activity was suggested as a useful prognostic indicator in lung cancer (<|other_cit|>). Therefore, the RAS plays an important part in the process of COVID-19 and other pulmonary diseases, and quickly it becomes a hot spot to apply RAS blockers to treat COVID-19 (<|multi_cit|>) [SEP] In summary, based on the currently available evidence, treatment with renin-angiotensin system blockers should not be discontinued because of concerns with coronavirus infection. Indeed, animal data support elevated ACE2 expression as conferring potential protective pulmonary and cardiovascular effects.",NOT_ACCURATE
"SARS-CoV-2 has a high affinity to angiotensin-converting enzyme 2 (ACE2) receptors, by which this virus can be transported into the lungs [<|multi_cit|>]. [SEP] In 2003, Li et al4 demonstrated that ACE2 is the receptor responsible for SARS coronavirus entry. Generally, however, pulmonary ACE2 expression is low when compared with other organs like the intestine, testis, heart, and kidney.9–11",ACCURATE
"ACE inhibitors (ACEIs) or angiotensin II receptor blockers (ARBs) can upregulate ACE2 receptors as a feedback response of angiotensin I (Ang I) downregulation, rendering more binding sites for SARS-CoV-2 and thus aggravating infection [<|other_cit|>]. The other perspective is supported by investigations demonstrating ACEIs/ARBs can exert beneficial effects through upregulating ACE2 expression, which can activate the ACE2/Ang 1-7/MAS (MAS-related G protein-coupled receptor) pathway, thus ameliorating oxidative stress and inflammation responses in acute lung injury models [<|multi_cit|>] [SEP] NO EVIDENCE",IRRELEVANT
"Despite evidence for increased expression of ACE2 in patients with cardiovascular disease who are treated with ACE inhibitors (ACE-I) and angiotensin receptor blockers, the actual impact of these drugs on COVID-19 was reported to be controversial (<|multi_cit|>). [SEP] Moreover, there are no data to support the notion that ACE inhibitor or angiotensin II type 1 receptor blocker administration facilitates coronavirus entry by increasing ACE2 expression in either animals or humans.",NOT_ACCURATE
"The role of angiotensin converter enzyme 2 (ACE2) in COVID-19 has been widely discussed, as this transmembrane receptor is used by SARS-COV-2 to pass cells’ membranes [<|multi_cit|>] [SEP] Generally, however, pulmonary ACE2 expression is low when compared with other organs like the intestine, testis, heart, and kidney.9–11 In 2003, Li et al4 demonstrated that ACE2 is the receptor responsible for SARS coronavirus entry.",ACCURATE
"The effect of ARBs and ACEIs on lung levels of ACE2 has been controversial, which became particularly relevant for patients vulnerable to severe COVID-19, such as aged patients and patients with obesity, hypertension, or diabetes taking these drugs. However, most of the controversy was based on review or opinion articles that at the same time highlighted that experimental data on this question were scarce and controversial [<|multi_cit|>]. [SEP] In closing, we see no reason to abandon or discontinue temporarily the use of RAS blockers preventatively in SARS-CoV-2 patients.29 There are some concerns that these agents, particularly ARBs, can affect the expression of ACE2 based on animal models that, however, have not been challenged with coronavirus infection to evaluate the impact of RAS blocker therapy. Since this information is lacking, we see no rationale to panic and to alter the prescription of this critically important class of antihypertensives. Moreover, there are no data to support the notion that ACE inhibitor or angiotensin II type 1 receptor blocker administration facilitates coronavirus entry by increasing ACE2 expression in either animals or humans. Although angiotensin II type 1 receptor blockers have been shown to upregulate ACE2 in experimental animals, the evidence is not always consistent and differs among the diverse angiotensin II type 1 receptor blockers and differing organs. ACE (angiotensin-converting enzyme) inhibitors do not inhibit ACE2 because ACE and ACE2 are different enzymes.",ACCURATE
